,dataset,seed,train_frac,classifier,best_params,val_acc,train_acc,test_acc
0,mushroom,0,0.2,LogisticRegression,{'C': 1},0.9359609215315813,0.9402709359605911,0.9436923076923077
1,mushroom,0,0.2,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9981515711645103,1.0,0.9987692307692307
2,mushroom,0,0.2,KNN,{'n_neighbors': 3},0.9766047568054238,0.9963054187192119,0.9910769230769231
3,mushroom,0,0.5,LogisticRegression,{'C': 1},0.9391925160019694,0.9419005416051206,0.9441161989167898
4,mushroom,0,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 100}",0.999507631708518,1.0,1.0
5,mushroom,0,0.5,KNN,{'n_neighbors': 3},0.9955686853766618,0.9987690792712949,0.9970457902511078
6,mushroom,0,0.8,LogisticRegression,{'C': 1},0.9481461975521062,0.9486074780735497,0.940923076923077
7,mushroom,0,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
8,mushroom,0,0.8,KNN,{'n_neighbors': 3},0.9983074555047501,1.0,0.9993846153846154
9,mushroom,42,0.2,LogisticRegression,{'C': 10},0.94458237558346,0.9488916256157636,0.9458461538461539
10,mushroom,42,0.2,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9993838570548368,1.0,0.9987692307692307
11,mushroom,42,0.2,KNN,{'n_neighbors': 3},0.9833732348414057,0.9963054187192119,0.9883076923076923
12,mushroom,42,0.5,LogisticRegression,{'C': 1},0.9453471196454949,0.9470704086656819,0.9487936976858691
13,mushroom,42,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9992614475627769,1.0,1.0
14,mushroom,42,0.5,KNN,{'n_neighbors': 3},0.9948301329394386,0.999015263417036,0.9987690792712949
15,mushroom,42,0.8,LogisticRegression,{'C': 10},0.9430680669484331,0.9450684720726266,0.952
16,mushroom,42,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9992308875557606,1.0,1.0
17,mushroom,42,0.8,KNN,{'n_neighbors': 3},0.9967690175657328,0.9996922603477458,0.9987692307692307
18,mushroom,99,0.2,LogisticRegression,{'C': 10},0.9556684014159921,0.9568965517241379,0.9446153846153846
19,mushroom,99,0.2,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9987677141096735,1.0,1.0
20,mushroom,99,0.2,KNN,{'n_neighbors': 3},0.9809063894705491,0.9963054187192119,0.9907692307692307
21,mushroom,99,0.5,LogisticRegression,{'C': 1},0.9473165928114229,0.9510093549975381,0.9453471196454948
22,mushroom,99,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
23,mushroom,99,0.5,KNN,{'n_neighbors': 3},0.9965534219596259,0.9997538158542589,0.9987690792712949
24,mushroom,99,0.8,LogisticRegression,{'C': 1},0.9484551918498795,0.9498384366825665,0.940923076923077
25,mushroom,99,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
26,mushroom,99,0.8,KNN,{'n_neighbors': 3},0.99769195249882,1.0,0.9993846153846154
27,gender,0,0.2,LogisticRegression,{'C': 0.01},0.6097850907915526,0.6097171765185211,0.6094927683845998
28,gender,0,0.2,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7404340851308836,0.9864529929039486,0.7474281931146873
29,gender,0,0.2,KNN,{'n_neighbors': 7},0.5839812411774573,0.7095032764064781,0.5928311944048347
30,gender,0,0.5,LogisticRegression,{'C': 0.1},0.6096640130248843,0.609623271858109,0.6095335098798126
31,gender,0,0.5,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7574761396220425,0.9552380693701279,0.7655870170435255
32,gender,0,0.5,KNN,{'n_neighbors': 7},0.6046391395320075,0.7181193470407692,0.604101310518096
33,gender,0,0.8,LogisticRegression,{'C': 10},0.6095488697257501,0.6095149174553325,0.6094927683845998
34,gender,0,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7651402590717904,0.935415694096677,0.7706253819515176
35,gender,0,0.8,KNN,{'n_neighbors': 7},0.6050078423738583,0.7249586215677121,0.6095946221226319
36,gender,42,0.2,LogisticRegression,{'C': 1},0.6102943836906086,0.6099548433096799,0.6091532559244924
37,gender,42,0.2,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7409772531908517,0.9857399925304723,0.7482005839614314
38,gender,42,0.2,KNN,{'n_neighbors': 7},0.5917223258558905,0.7102841815774285,0.5928566578393427
39,gender,42,0.5,LogisticRegression,{'C': 10},0.6095010492572822,0.609528207078252,0.6093841243973653
40,gender,42,0.5,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7565255550851663,0.9574653013553521,0.7622462144360698
41,gender,42,0.5,KNN,{'n_neighbors': 7},0.6007958590369054,0.7192872857647282,0.6045358864670334
42,gender,42,0.8,LogisticRegression,{'C': 10},0.6093960854444181,0.6093875992021389,0.6095267196306104
43,gender,42,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7647413436024185,0.9351271060561049,0.7694370883411421
44,gender,42,0.8,KNN,{'n_neighbors': 7},0.6058057303720666,0.7238636845902474,0.6132613566917906
45,gender,99,0.2,LogisticRegression,{'C': 1},0.6093776481721154,0.6094455573286253,0.6093994024580702
46,gender,99,0.2,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7397209637112883,0.9841442297898346,0.7515023426359747
47,gender,99,0.2,KNN,{'n_neighbors': 7},0.5910095468192386,0.7089260856279496,0.5923728525836898
48,gender,99,0.5,LogisticRegression,{'C': 0.01},0.6095146197960641,0.6094467229812315,0.6094656073877911
49,gender,99,0.5,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7594454009739536,0.9545318738626178,0.7618387994839411
50,gender,99,0.5,KNN,{'n_neighbors': 7},0.59711545875924,0.7192058016677079,0.6035580905819243
51,gender,99,0.8,LogisticRegression,{'C': 1},0.609396087389627,0.6094470143869626,0.6098662320907178
52,gender,99,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7654458259053798,0.9347791028307092,0.766958647382359
53,gender,99,0.8,KNN,{'n_neighbors': 7},0.605644419591186,0.722743283962144,0.6150947239763699
54,bankrupt,0,0.2,LogisticRegression,{'C': 0.01},0.9552371270432944,0.962582538517975,0.9629765395894428
55,bankrupt,0,0.2,RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.9728518177857385,1.0,0.968841642228739
56,bankrupt,0,0.2,KNN,{'n_neighbors': 3},0.967721998999532,0.9699192956713133,0.9660923753665689
57,bankrupt,0,0.5,LogisticRegression,{'C': 0.01},0.9633334675304835,0.9650924024640657,0.964516129032258
58,bankrupt,0,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 100}",0.9700779066070417,1.0,0.9718475073313783
59,bankrupt,0,0.5,KNN,{'n_neighbors': 7},0.9680259805682526,0.9686124963332355,0.9674486803519061
60,bankrupt,0,0.8,LogisticRegression,{'C': 0.01},0.9637026191165937,0.9679193400549955,0.967741935483871
61,bankrupt,0,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 50}",0.9706697809234835,1.0,0.969208211143695
62,bankrupt,0,0.8,KNN,{'n_neighbors': 7},0.9675527017609219,0.968102658111824,0.968475073313783
63,bankrupt,42,0.2,LogisticRegression,{'C': 0.01},0.9574462248471058,0.9633162142333089,0.9567448680351907
64,bankrupt,42,0.2,RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9655161285117232,0.9992663242846662,0.968291788856305
65,bankrupt,42,0.2,KNN,{'n_neighbors': 5},0.9677187716835295,0.9691856199559794,0.9664589442815249
66,bankrupt,42,0.5,LogisticRegression,{'C': 0.01},0.9630384918717819,0.9642123789967733,0.9636363636363636
67,bankrupt,42,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 100}",0.9706657933529055,1.0,0.967741935483871
68,bankrupt,42,0.5,KNN,{'n_neighbors': 7},0.9677325533382057,0.9680258140217073,0.967741935483871
69,bankrupt,42,0.8,LogisticRegression,{'C': 0.01},0.9605866487326761,0.9611365719523373,0.9596774193548387
70,bankrupt,42,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.9693856136575726,1.0,0.9706744868035191
71,bankrupt,42,0.8,KNN,{'n_neighbors': 7},0.9677360534294221,0.969019248395967,0.967741935483871
72,bankrupt,99,0.2,LogisticRegression,{'C': 0.01},0.9611140694841135,0.9655172413793104,0.9633431085043989
73,bankrupt,99,0.2,RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9691855868067322,0.9992663242846662,0.969574780058651
74,bankrupt,99,0.2,KNN,{'n_neighbors': 5},0.9677187716835295,0.966984592809978,0.9664589442815249
75,bankrupt,99,0.5,LogisticRegression,{'C': 0.01},0.9647982810377362,0.9674391317101789,0.9656891495601173
76,bankrupt,99,0.5,RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9686123188854617,0.9976532707538868,0.9718475073313783
77,bankrupt,99,0.5,KNN,{'n_neighbors': 7},0.9677325533382057,0.9680258140217073,0.9668621700879766
78,bankrupt,99,0.8,LogisticRegression,{'C': 0.01},0.964803333915946,0.9635197066911091,0.9618768328445748
79,bankrupt,99,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9688361634404231,1.0,0.9721407624633431
80,bankrupt,99,0.8,KNN,{'n_neighbors': 5},0.9679194050979222,0.9688359303391384,0.9626099706744868
